ModelPartsID,ModelYear,CarLineCode,TrimLevel,PartNumber,AccessoryName,AccessoryNameFR,AdditionalDescriptionEn,AdditionalDescriptionFr,RestrictionEn,RestrictionFr,PartResidualVal,IsPopular,MSRP,StandardInstallTime,DisplayOrder
1,2023,MX30,KVSB83AA00,TD2K66EZ1B,Navigation SD Card,Carte SD de navigation,"Endless destinations await with our accessory navigation system which is integrated into the MAZDA CONNECT™ infotainment system, our accessory navigation includes lane guidance, speed limit alerts, and voice command functions.  ","Des destinations sans fin vous attendent avec notre accessoire de navigation intégré au système info-divertissement MAZDA CONNECT ™, notre accessoire de navigation comprend le guidage de voie, les alertes de limite de vitesse et les fonctions de commande vocale.  ",,,570,TRUE,568.22,0,101
2,2023,MX30,KVSB83AA00,DN4JV0350,All-Weather Floor Mats,Protège-moquettes toutes saisons,"Help keep the great outdoors in its place with all-weather floor mats that guard against snow, mud, sand and whatever else comes through the door.  ","Laissez les grands espaces à l’extérieur. Ces tapis toutes saisons protègent vos moquettes de la neige, de la boue, du sable et de tout ce que vous traînez sous vos semelles.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,140.78,0,502
3,2023,MX30,KVTB83AA00,DN4JV0350,All-Weather Floor Mats,Protège-moquettes toutes saisons,"Help keep the great outdoors in its place with all-weather floor mats that guard against snow, mud, sand and whatever else comes through the door.  ","Laissez les grands espaces à l’extérieur. Ces tapis toutes saisons protègent vos moquettes de la neige, de la boue, du sable et de tout ce que vous traînez sous vos semelles.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,140.78,0,502
4,2023,MX30,KVSB83AA00,00VPMX30FL1P,Floor Liner - First Row,Tapis-doublure de plancher - 1re rangée,"Combine style and function with our custom-fitted premium floor liners. Features patented anti-skid fibre technology, a striking design, and will protect your Mazda for years to come.  ","Combinez style et fonctionnalité avec notre revêtement de plancher de qualité supérieure. Fait de fibres antidérapantes brevetées, il protégera en beauté votre Mazda pour de nombreuses années.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,179.1,0,500
5,2023,MX30,KVTB83AA00,00VPMX30FL1P,Floor Liner - First Row,Tapis-doublure de plancher - 1re rangée,"Combine style and function with our custom-fitted premium floor liners. Features patented anti-skid fibre technology, a striking design, and will protect your Mazda for years to come.  ","Combinez style et fonctionnalité avec notre revêtement de plancher de qualité supérieure. Fait de fibres antidérapantes brevetées, il protégera en beauté votre Mazda pour de nombreuses années.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,179.1,0,500
6,2023,MX30,KVTB83AA00,00VPMX30FL2P,Floor Liner - Second Row,Tapis-doublure de plancher - 2e rangée,"Combine style and function with our custom-fitted premium floor liners. Features patented anti-skid fibre technology, a striking design, and will protect your Mazda for years to come. ","Combinez style et fonctionnalité avec notre revêtement de plancher de qualité supérieure. Fait de fibres antidérapantes brevetées, il protégera en beauté votre Mazda pour de nombreuses années.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,147.68,0,500
7,2023,MX30,KVSB83AA00,00VPMX30FL2P,Floor Liner - Second Row,Tapis-doublure de plancher - 2e rangée,"Combine style and function with our custom-fitted premium floor liners. Features patented anti-skid fibre technology, a striking design, and will protect your Mazda for years to come. ","Combinez style et fonctionnalité avec notre revêtement de plancher de qualité supérieure. Fait de fibres antidérapantes brevetées, il protégera en beauté votre Mazda pour de nombreuses années.  ",Do not place on top of other floor mats ,Ne pas placer sur d'autres protège-moquettes. ,,,147.68,0,500
8,2023,MX30,KVSB83AA00,C9N1W3580,First Aid Kit,Trousse de premiers soins,Keep your family safe at home or on the road.  ,Protégez votre famille à la maison et sur la route.  ,,,,FALSE,49.95,0,901
9,2023,MX30,KVTB83AA00,C9N1W3580,First Aid Kit,Trousse de premiers soins,Keep your family safe at home or on the road.  ,Protégez votre famille à la maison et sur la route.  ,,,,FALSE,49.95,0,901
10,2023,MX30,KVTB83AA00,BDTVV9090,Alloy Pedal Kit,Pédale en alliage - Trousse,"Our high-quality alloy pedals give your interior a sporty, more powerful appearance. ",Nos pédales en alliage de haute qualité donnent à votre habitacle une allure performante et sportive. ,,,,FALSE,336,0.5,503
11,2023,MX30,KVSB83AA00,BDTVV9090,Alloy Pedal Kit,Pédale en alliage - Trousse,"Our high-quality alloy pedals give your interior a sporty, more powerful appearance. ",Nos pédales en alliage de haute qualité donnent à votre habitacle une allure performante et sportive. ,,,,FALSE,336,0.5,503
